Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Diamond Miller,34,34,978,225,473,0.476,205,382,0.537,20,91,0.220,201,252,0.798,54,165,219,99,71,45,108,97,671,diamond-miller-1
2,Abby Meyers,35,34,1067,196,431,0.455,132,266,0.496,64,165,0.388,45,60,0.750,59,119,178,81,64,17,51,62,501,abby-meyers-1
3,Shyanne Sellers,35,30,989,176,362,0.486,151,290,0.521,25,72,0.347,109,135,0.807,36,133,169,136,64,20,85,101,486,shyanne-sellers-1
4,Brinae Alexander,35,1,794,107,246,0.435,39,91,0.429,68,155,0.439,33,38,0.868,33,81,114,36,37,8,37,84,315,brinae-alexander-1
5,Lavender Briggs,35,6,867,99,253,0.391,70,179,0.391,29,74,0.392,26,29,0.897,48,98,146,45,21,15,41,52,253,lavender-briggs-1
6,Faith Masonius,35,35,955,98,205,0.478,90,180,0.500,8,25,0.320,36,49,0.735,70,102,172,70,41,13,58,90,240,faith-masonius-1
7,Elisa Pinzan,35,35,707,48,120,0.400,36,79,0.456,12,41,0.293,7,8,0.875,9,42,51,100,39,1,39,32,115,elisa-pinzan-1
8,Bri McDaniel,34,0,323,35,82,0.427,23,58,0.397,12,24,0.500,21,33,0.636,19,33,52,12,20,2,21,42,103,bri-mcdaniel-1
9,Gia Cooke,25,0,160,16,57,0.281,16,51,0.314,0,6,0.000,24,35,0.686,5,10,15,9,5,0,18,18,56,gia-cooke-1
10,Mila Reynolds,22,0,111,9,29,0.310,9,27,0.333,0,2,0.000,5,6,0.833,7,12,19,4,2,1,6,13,23,mila-reynolds-1
11,Ava Sciolla,16,0,44,3,5,0.600,2,4,0.500,1,1,1.000,0,0,,1,9,10,1,0,0,0,3,7,ava-sciolla-1
12,Emma Chardon,1,0,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,emma-chardon-1